origem,destino,tempo_min,passageiros
28,16,3.63,6
28,17,3.81,6
28,18,3.04,13
28,19,1.66,14
28,20,2.5,14
28,21,4.55,7
28,22,4.36,1
28,23,6.11,6
28,24,4.19,25
28,25,3.17,6
28,26,2.82,6
28,27,2.12,6
28,29,0.57,6
28,30,0.46,4
28,31,1.09,11
28,32,2.13,3
29,1,5.28,23
29,2,4.82,31
29,3,4.06,4
29,4,3.23,4
29,5,3.3,5
29,6,3.01,11
29,7,3.46,9
29,8,3.59,9
29,9,5.32,2
29,10,5.55,4
29,11,6.37,5
29,12,5.85,2
29,13,5.54,1
29,14,4.41,1
29,15,3.66,5
29,16,4.32,6
29,17,4.5,6
29,18,3.49,13
29,19,1.37,14
29,20,2.2,14
29,21,4.26,7
29,22,4.07,1
29,23,5.82,6
29,24,4.88,25
29,25,4.22,6
29,26,3.51,6
29,27,1.83,6
29,28,1.22,5
29,30,0.17,4
29,31,0.8,11
29,32,1.83,3
30,1,5.11,23
30,2,5.15,31
30,3,4.43,4
30,4,3.59,4
30,5,3.67,5
30,6,3.06,11
30,7,3.29,9
30,8,3.42,9
30,9,5.15,2
30,10,5.38,4
30,11,6.28,5
30,12,5.76,2
30,13,5.9,1
30,14,4.24,1
30,15,3.49,5
30,16,4.69,6
30,17,4.86,6
30,18,3.53,13
30,19,1.2,14
30,20,2.04,14
30,21,4.09,7
30,22,3.9,1
30,23,5.65,6
30,24,5.21,25
30,25,4.08,6
30,26,3.77,6
30,27,1.67,6
30,28,1.71,5
30,29,0.87,6
30,31,0.63,11
30,32,1.67,3
31,1,5.78,23
31,2,5.14,31
31,3,4.38,4
31,4,3.23,4
31,5,3.31,5
31,6,2.43,11
31,7,2.66,9
31,8,2.79,9
31,9,5.76,2
31,10,6.04,4
31,11,6.69,5
31,12,6.17,2
31,13,5.85,1
31,14,4.9,1
31,15,3.98,5
31,16,4.63,6
31,17,4.37,6
31,18,2.91,13
31,19,0.57,14
31,20,2.28,14
31,21,4.29,7
31,22,4.14,1
31,23,5.91,6
31,24,5.2,25
31,25,4.54,6
31,26,3.83,6
31,27,1.03,6
31,28,2.49,5
31,29,2.2,6
31,30,2.36,4
31,32,1.04,3
32,1,6.28,23
32,2,5.64,31
32,3,5.0,4
32,4,3.47,4
32,5,3.55,5
32,6,3.21,11
32,7,3.89,9
32,8,4.5,9
32,9,6.27,2
32,10,6.55,4
32,11,7.19,5
32,12,6.67,2
32,13,6.47,1
32,14,5.41,1
32,15,6.0,5
32,16,4.87,6
32,17,4.66,6
32,18,3.19,13
32,19,2.85,14
32,20,4.18,14
